id,category,gold,pred,correct,cost_usd
rebuild:001,unknown,C,C,1,0.000010
rebuild:002,unknown,D,D,1,0.000010
rebuild:003,unknown,B,B,1,0.000010
rebuild:004,unknown,D,A,0,0.000010
rebuild:005,unknown,D,D,1,0.000010
rebuild:006,unknown,C,NONE,0,0.000016
rebuild:007,unknown,D,A,0,0.000010
rebuild:008,unknown,C,A,0,0.000010
rebuild:009,unknown,B,B,1,0.000010
rebuild:010,unknown,D,D,1,0.000010
rebuild:011,unknown,C,C,1,0.000010
rebuild:012,unknown,B,A,0,0.000010
rebuild:013,unknown,D,D,1,0.000010
rebuild:014,unknown,A,A,1,0.000010
rebuild:015,unknown,C,NONE,0,0.000016
rebuild:016,unknown,D,A,0,0.000010
rebuild:017,unknown,D,D,1,0.000010
rebuild:018,unknown,A,A,1,0.000010
rebuild:019,unknown,D,A,0,0.000010
rebuild:020,unknown,C,C,1,0.000010
