id,category,gold,pred,correct,cost,cost_usd
rebuild:001,unknown,C,C,1,0.000000,0.000000
rebuild:002,unknown,D,D,1,0.000000,0.000000
rebuild:003,unknown,B,B,1,0.000000,0.000000
rebuild:004,unknown,D,A,0,0.000000,0.000000
rebuild:005,unknown,D,D,1,0.000000,0.000000
rebuild:006,unknown,C,C,1,0.000000,0.000000
rebuild:007,unknown,D,A,0,0.000000,0.000000
rebuild:008,unknown,C,A,0,0.000000,0.000000
rebuild:009,unknown,B,B,1,0.000000,0.000000
rebuild:010,unknown,D,D,1,0.000000,0.000000
rebuild:011,unknown,C,C,1,0.000000,0.000000
rebuild:012,unknown,B,A,0,0.000000,0.000000
rebuild:013,unknown,D,D,1,0.000000,0.000000
rebuild:014,unknown,A,A,1,0.000000,0.000000
rebuild:015,unknown,C,D,0,0.000000,0.000000
rebuild:016,unknown,D,A,0,0.000000,0.000000
rebuild:017,unknown,D,D,1,0.000000,0.000000
rebuild:018,unknown,A,A,1,0.000000,0.000000
rebuild:019,unknown,D,A,0,0.000000,0.000000
rebuild:020,unknown,C,C,1,0.000000,0.000000
