id,category,gold,pred,correct,cost_usd
kn_001,unknown,C,,0,0.000000
kn_002,unknown,D,,0,0.000000
devops_002_dup,unknown,B,,0,0.000000
devops_001,unknown,D,,0,0.000000
devops_002,unknown,D,,0,0.000000
rebuild:010,unknown,C,,0,0.000000
rebuild:011,unknown,D,,0,0.000000
rebuild:012,unknown,C,,0,0.000000
rebuild:013,unknown,B,,0,0.000000
rebuild:014,unknown,D,,0,0.000000
rebuild:015,unknown,C,,0,0.000000
rebuild:016,unknown,B,,0,0.000000
rebuild:017,unknown,D,,0,0.000000
rebuild:018,unknown,A,,0,0.000000
rebuild:019,unknown,C,,0,0.000000
logic_001,unknown,D,,0,0.000000
logic_002,unknown,D,,0,0.000000
kn_001_dup,unknown,A,,0,0.000000
rebuild:001,unknown,D,,0,0.000000
rebuild:002,unknown,C,,0,0.000000
