id,category,gold,pred,correct,cost_usd
auto:873040127,unknown,A,,0,0.000000
auto:873040127__1,unknown,A,,0,0.000000
auto:873040127__10,unknown,A,,0,0.000000
auto:873040127__11,unknown,A,,0,0.000000
auto:873040127__12,unknown,B,,0,0.000000
auto:873040127__13,unknown,B,,0,0.000000
auto:873040127__14,unknown,A,,0,0.000000
auto:873040127__15,unknown,A,,0,0.000000
auto:873040127__16,unknown,A,,0,0.000000
auto:873040127__17,unknown,B,,0,0.000000
auto:873040127__18,unknown,A,,0,0.000000
auto:873040127__19,unknown,B,,0,0.000000
auto:873040127__2,unknown,A,,0,0.000000
auto:873040127__20,unknown,A,,0,0.000000
auto:873040127__21,unknown,A,,0,0.000000
auto:873040127__22,unknown,A,,0,0.000000
auto:873040127__23,unknown,A,,0,0.000000
auto:873040127__24,unknown,A,,0,0.000000
auto:873040127__3,unknown,B,,0,0.000000
auto:873040127__4,unknown,A,,0,0.000000
auto:873040127__5,unknown,A,,0,0.000000
auto:873040127__6,unknown,A,,0,0.000000
auto:873040127__7,unknown,A,,0,0.000000
auto:873040127__8,unknown,A,,0,0.000000
auto:873040127__9,unknown,A,,0,0.000000
devops_001,unknown,C,C,1,0.000000
devops_002,unknown,A,A,1,0.000000
kn_001,unknown,B,B,1,0.000000
kn_002,unknown,B,B,1,0.000000
logic_001,unknown,A,B,0,0.000000
logic_002,unknown,B,B,1,0.000000
