Total,31
Correct,21
Accuracy,0.677
id,gold,pred,correct
auto:873040127,A,A,1
auto:873040127__1,A,A,1
auto:873040127__10,A,A,1
auto:873040127__11,A,A,1
auto:873040127__12,B,A,0
auto:873040127__13,B,A,0
auto:873040127__14,A,A,1
auto:873040127__15,A,A,1
auto:873040127__16,A,A,1
auto:873040127__17,B,A,0
auto:873040127__18,A,A,1
auto:873040127__19,B,A,0
auto:873040127__2,A,A,1
auto:873040127__20,A,A,1
auto:873040127__21,A,A,1
auto:873040127__22,A,A,1
auto:873040127__23,A,A,1
auto:873040127__24,A,A,1
auto:873040127__3,B,A,0
auto:873040127__4,A,A,1
auto:873040127__5,A,A,1
auto:873040127__6,A,C,0
auto:873040127__7,A,A,1
auto:873040127__8,A,A,1
auto:873040127__9,A,A,1
devops_001,C,A,0
devops_002,A,A,1
kn_001,B,A,0
kn_002,B,A,0
logic_001,A,A,1
logic_002,B,A,0
